year,n,name,annio,periodo,mes,parametro
20200601,19,Madrid,2020,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20200601,44596,Madrid,2020,Trimestre 2,6,Hurtos
20200601,5764,Madrid,2020,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200601,4675,Madrid,2020,Trimestre 2,6,Robos con violencia e intimidación
20200601,3,Madrid,2020,Trimestre 2,6,Secuestro
20200601,2763,Madrid,2020,Trimestre 2,6,Sustracciones de vehículos
20200601,1199,Madrid,2020,Trimestre 2,6,Tráfico de drogas
20200901,170,Madrid,2020,Trimestre 3,9,Agresión sexual con penetración
20200901,29,Madrid,2020,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20200901,67722,Madrid,2020,Trimestre 3,9,Hurtos
20200901,9117,Madrid,2020,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20200901,7615,Madrid,2020,Trimestre 3,9,Robos con violencia e intimidación
20200901,6,Madrid,2020,Trimestre 3,9,Secuestro
20200901,4599,Madrid,2020,Trimestre 3,9,Sustracciones de vehículos
20200901,1779,Madrid,2020,Trimestre 3,9,Tráfico de drogas
20201201,217,Madrid,2020,Trimestre 4,12,Agresión sexual con penetración
20201201,38,Madrid,2020,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20201201,92213,Madrid,2020,Trimestre 4,12,Hurtos
20201201,12262,Madrid,2020,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20201201,10688,Madrid,2020,Trimestre 4,12,Robos con violencia e intimidación
20201201,10,Madrid,2020,Trimestre 4,12,Secuestro
20201201,6235,Madrid,2020,Trimestre 4,12,Sustracciones de vehículos
20201201,247,Madrid,2020,Trimestre 4,12,Tráfico de drogas
20210301,47,Madrid,2021,Trimestre 1,3,Agresión sexual con penetración
20210301,6,Madrid,2021,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20210301,24453,Madrid,2021,Trimestre 1,3,Hurtos
20210301,2923,Madrid,2021,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210301,2859,Madrid,2021,Trimestre 1,3,Robos con violencia e intimidación
20210301,5,Madrid,2021,Trimestre 1,3,Secuestro
20210301,1427,Madrid,2021,Trimestre 1,3,Sustracciones de vehículos
20210301,605,Madrid,2021,Trimestre 1,3,Tráfico de drogas
20210601,123,Madrid,2021,Trimestre 2,6,Agresión sexual con penetración
20210601,14,Madrid,2021,Trimestre 2,6,Homicidios dolosos y asesinatos consumados
20210601,5027,Madrid,2021,Trimestre 2,6,Hurtos
20210601,5798,Madrid,2021,Trimestre 2,6,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210601,562,Madrid,2021,Trimestre 2,6,Robos con violencia e intimidación
20210601,8,Madrid,2021,Trimestre 2,6,Secuestro
20210601,3235,Madrid,2021,Trimestre 2,6,Sustracciones de vehículos
20210601,1229,Madrid,2021,Trimestre 2,6,Tráfico de drogas
20210901,204,Madrid,2021,Trimestre 3,9,Agresión sexual con penetración
20210901,23,Madrid,2021,Trimestre 3,9,Homicidios dolosos y asesinatos consumados
20210901,75929,Madrid,2021,Trimestre 3,9,Hurtos
20210901,9208,Madrid,2021,Trimestre 3,9,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20210901,8726,Madrid,2021,Trimestre 3,9,Robos con violencia e intimidación
20210901,12,Madrid,2021,Trimestre 3,9,Secuestro
20210901,4949,Madrid,2021,Trimestre 3,9,Sustracciones de vehículos
20210901,1851,Madrid,2021,Trimestre 3,9,Tráfico de drogas
20211201,274,Madrid,2021,Trimestre 4,12,Agresión sexual con penetración
20211201,37,Madrid,2021,Trimestre 4,12,Homicidios dolosos y asesinatos consumados
20211201,108778,Madrid,2021,Trimestre 4,12,Hurtos
20211201,12381,Madrid,2021,Trimestre 4,12,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20211201,12153,Madrid,2021,Trimestre 4,12,Robos con violencia e intimidación
20211201,13,Madrid,2021,Trimestre 4,12,Secuestro
20211201,6922,Madrid,2021,Trimestre 4,12,Sustracciones de vehículos
20211201,2502,Madrid,2021,Trimestre 4,12,Tráfico de drogas
20220301,51,Madrid,2022,Trimestre 1,3,Agresión sexual con penetración
20220301,13,Madrid,2022,Trimestre 1,3,Homicidios dolosos y asesinatos consumados
20220301,34079,Madrid,2022,Trimestre 1,3,Hurtos
20220301,337,Madrid,2022,Trimestre 1,3,Robos con fuerza en domicilios, establecimientos y otras instalaciones
20220301,3097,Madrid,2022,Trimestre 1,3,Robos con violencia e intimidación
20220301,3,Madrid,2022,Trimestre 1,3,Secuestro
20220301,2028,Madrid,2022,Trimestre 1,3,Sustracciones de vehículos
20220301,713,Madrid,2022,Trimestre 1,3,Tráfico de drogas
